"Date";"close_price";"Signal"
"2017-01-30";387.45;"HOLD"
"2017-01-31";385.35;"HOLD"
"2017-02-01";394.1;"HOLD"
"2017-02-02";389.35;"HOLD"
"2017-02-03";391.75;"HOLD"
"2017-02-06";395.95;"HOLD"
"2017-02-07";392.1;"HOLD"
"2017-02-08";397.4;"HOLD"
"2017-02-09";408.0;"HOLD"
"2017-02-10";411.1;"HOLD"
"2017-02-13";411.45;"HOLD"
"2017-02-14";409.35;"HOLD"
"2017-02-15";410.6;"HOLD"
"2017-02-16";422.1;"HOLD"
"2017-02-17";425.5;"HOLD"
"2017-02-20";425.7;"HOLD"
"2017-02-21";429.0;"HOLD"
"2017-02-22";426.95;"HOLD"
"2017-02-23";433.35;"HOLD"
"2017-02-27";434.8;"HOLD"
"2017-02-28";428.45;"HOLD"
"2017-03-01";424.85;"HOLD"
"2017-03-02";426.2;"HOLD"
"2017-03-03";429.35;"HOLD"
"2017-03-06";426.7;"HOLD"
"2017-03-07";424.65;"HOLD"
"2017-03-08";417.7;"HOLD"
"2017-03-09";419.9;"HOLD"
"2017-03-10";425.5;"HOLD"
"2017-03-14";435.8;"HOLD"
"2017-03-15";438.45;"HOLD"
"2017-03-16";438.2;"HOLD"
"2017-03-17";442.45;"HOLD"
"2017-03-20";439.75;"HOLD"
"2017-03-21";439.55;"HOLD"
"2017-03-22";432.7;"HOLD"
"2017-03-23";427.4;"HOLD"
"2017-03-24";427.95;"HOLD"
"2017-03-27";428.9;"HOLD"
"2017-03-28";432.3;"HOLD"
"2017-03-29";430.8;"HOLD"
"2017-03-30";434.75;"HOLD"
"2017-03-31";431.6;"HOLD"
"2017-04-03";435.2;"HOLD"
"2017-04-05";450.45;"HOLD"
"2017-04-06";449.7;"HOLD"
"2017-04-07";468.5;"HOLD"
"2017-04-10";475.15;"HOLD"
"2017-04-11";473.5;"HOLD"
"2017-04-12";474.5;"HOLD"
"2017-04-13";474.0;"HOLD"
"2017-04-17";471.95;"HOLD"
"2017-04-18";468.85;"HOLD"
"2017-04-19";470.85;"HOLD"
"2017-04-20";489.45;"HOLD"
"2017-04-21";482.95;"HOLD"
"2017-04-24";485.45;"HOLD"
"2017-04-25";488.95;"HOLD"
"2017-04-26";502.25;"HOLD"
"2017-04-27";503.05;"HOLD"
"2017-04-28";495.6;"HOLD"
"2017-05-02";494.7;"HOLD"
"2017-05-03";499.15;"HOLD"
"2017-05-04";496.95;"HOLD"
"2017-05-05";492.7;"HOLD"
"2017-05-08";500.8;"HOLD"
"2017-05-09";499.3;"HOLD"
"2017-05-10";497.05;"HOLD"
